hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code,RentPrice,eviction_filings_completed,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,back_rent_median,crime,violent_crime,non_offensive_crime,eviction_filings_completed_scaled,crime_scaled,violent_crime_scaled,non_offensive_crime_scaled
32746.0,73926,12.2,25.4,9.0,40590,2054,1762,1413,1813,4853,4724,3467,3028,2210,2197,2216,2050,2392,2144,1595,1026,914,732,31.1,54.8,0.3,8.6,5.5,60615,1472.303145661095,1019,167,85,317,293,157,2493.8975757575754,3139,1850,1289,0.1019,0.3139,0.185,0.1289
23305.0,50819,26.6,14.6,16.1,61207,3861,3403,3463,3137,3806,4679,4167,3480,3147,3644,4058,5128,4776,3230,2191,1860,1490,1687,1.8,95.7,0.1,0.2,1.3,60619,898.0292605911027,1719,477,130,562,393,157,2506.5538461538463,10489,5886,4603,0.1719,1.0489,0.5886,0.4603
15672.0,34586,35.6,7.1,24.4,28018,2387,2027,1882,1912,1903,2217,1823,1325,1474,1332,1884,1935,1948,1054,1166,627,562,560,2.2,95.0,0.3,0.2,3.2,60621,1426.7717029074124,990,250,89,349,208,94,2295.1884,5993,3355,2638,0.099,0.5993,0.3355,0.2638
18780.0,41196,40.3,6.1,27.2,30024,1859,1672,1979,2029,1932,1894,1543,1761,1533,1899,1766,2203,1633,1386,2012,1734,667,522,5.6,88.0,0.1,0.1,9.4,60636,1426.7717029074124,827,207,94,273,161,92,2355.3234375,6899,3770,3129,0.0827,0.6899,0.377,0.3129
23463.0,64716,31.0,8.9,7.4,88204,6161,6726,6303,6479,6830,6087,6804,6636,6588,5983,4725,5454,4730,3304,2163,1617,978,636,46.6,13.5,0.5,1.5,78.0,60639,1160.645460430588,628,128,49,215,169,67,2330.3951282051285,4231,2189,2042,0.0628,0.4231,0.2189,0.2042
33387.0,92002,21.3,19.8,10.3,48887,2989,2082,3565,3147,2772,2035,3039,2864,2737,2903,3910,3847,3828,2938,1979,1362,1721,1169,23.3,72.6,0.2,0.3,3.1,60643,1426.7717029074124,423,103,25,126,104,65,3051.216551724138,5262,2856,2406,0.0423,0.5262,0.2856,0.2406
41029.0,109731,19.4,34.2,4.0,87633,5848,3831,3771,3730,6675,14263,12565,8843,5949,5498,3816,3622,2907,2394,1786,1014,608,513,77.5,5.8,0.5,3.6,42.9,60647,1830.148454022137,409,105,37,119,92,56,2894.5792982456137,5195,3102,2093,0.0409,0.5195,0.3102,0.2093
65125.0,257300,0.0,41.7,9.1,1052,5,0,0,192,148,169,98,33,18,58,49,125,37,48,56,16,0,0,62.8,3.9,0.0,32.0,3.2,60603,1426.7717029074124,110,17,2,21,25,45,4816.053333333333,1977,1463,514,0.011,0.1977,0.1463,0.0514
60709.0,136475,7.6,42.0,6.5,29293,1317,1035,547,2222,4407,4893,4249,2967,1617,1490,964,1190,851,552,341,310,177,164,58.5,14.3,0.2,21.7,7.3,60607,2392.292451395267,358,60,26,73,97,102,3809.4378260869566,3487,2452,1035,0.0358,0.3487,0.2452,0.1035
21759.0,52209,40.6,9.6,15.0,60939,4648,4390,4300,4269,4904,5706,4286,3881,4079,3518,3878,2857,2850,2592,2195,1528,575,483,43.9,25.1,0.7,6.2,53.0,60609,1143.0800099606865,899,237,93,264,182,123,2577.7561666666666,4665,2660,2005,0.0899,0.4665,0.266,0.2005
33056.0,94477,17.7,30.2,5.0,79444,5762,4409,3711,3966,4957,8040,9093,7985,6086,5150,4490,4015,3723,2885,1779,1226,1037,1130,65.3,4.8,0.2,13.6,32.1,60625,1351.726186014693,274,54,12,85,79,44,2908.3461764705885,4328,2521,1807,0.0274,0.4328,0.2521,0.1807
45842.0,126843,17.7,29.0,4.8,28569,1801,1802,1854,1654,913,1670,1783,1681,1779,2136,2184,1595,1803,1743,1164,1067,1024,916,84.7,1.0,0.0,9.7,15.1,60646,1426.7717029074124,60,12,6,13,16,13,3472.9100000000003,828,409,419,0.006,0.0828,0.0409,0.0419
30582.0,79416,28.5,13.4,11.2,43447,2695,3301,3607,3087,3177,2510,2665,2732,3103,3063,2947,3186,2313,1840,1190,844,532,655,29.1,45.6,0.1,1.1,41.5,60652,1426.7717029074124,141,36,9,41,29,26,3006.9566666666665,3810,1931,1879,0.0141,0.381,0.1931,0.1879
66991.0,148946,7.3,42.4,3.2,40548,1670,781,666,1492,2940,8157,6278,2849,1581,1985,1624,1830,2158,2167,2014,1134,648,574,72.3,14.9,0.1,8.8,6.2,60610,2183.6426040802876,351,56,35,85,87,88,4848.585789473685,3149,2144,1005,0.0351,0.3149,0.2144,0.1005
54818.0,136961,10.6,43.9,2.5,53294,3536,1908,1404,1285,3100,10751,10202,5648,4216,2476,2256,1737,1500,1126,793,443,486,427,80.4,6.5,0.1,4.7,22.9,60622,1890.8302558717412,244,60,17,80,49,38,2819.174,4184,2674,1510,0.0244,0.4184,0.2674,0.151
31167.0,75345,15.5,30.0,4.9,44498,2009,1558,1108,2583,3628,5243,5093,3623,2816,2807,3113,2503,2472,2080,1505,917,578,862,65.4,13.4,0.3,13.6,17.1,60660,1280.3469840463988,493,42,23,224,146,58,2819.515909090909,1930,1183,747,0.0493,0.193,0.1183,0.0747
101190.0,267451,0.0,48.1,0.2,1145,56,45,46,17,74,118,285,242,135,45,51,15,10,6,0,0,0,0,64.1,4.3,6.6,21.4,6.5,60602,1426.7717029074124,182,21,3,31,46,81,4929.95,2175,1700,475,0.0182,0.2175,0.17,0.0475
78263.0,174238,4.1,38.7,3.0,33224,965,245,461,554,2581,4828,4429,2739,1415,1278,1812,2254,2521,2285,1971,1373,717,796,75.1,2.9,0.0,18.7,4.7,60611,2299.866492011972,270,20,15,46,85,104,4673.023,5157,3447,1710,0.027,0.5157,0.3447,0.171
29646.0,79276,19.3,22.6,5.3,54197,2095,1934,2663,2549,3979,6166,5453,3181,3800,3307,4058,3261,3115,3141,1746,1497,785,1467,31.5,23.6,0.7,39.5,8.4,60616,1536.2339055006905,633,71,71,206,172,113,3318.39625,3759,2334,1425,0.0633,0.3759,0.2334,0.1425
22250.0,53646,32.3,8.7,11.1,63492,4563,4861,4384,4830,4870,4868,4781,4394,4035,3992,3778,3479,3157,2802,2015,1181,815,687,20.3,51.7,0.4,0.5,42.9,60651,1426.7717029074124,759,213,58,264,157,67,2057.7296296296295,10896,5189,5707,0.0759,1.0896,0.5189,0.5707
