latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
41.87233813,-87.64146757,60607,440,1864
41.863581,-87.64231538,60607,422,3078
41.8871233,-87.66050651,60607,653,4416
41.85357892,-87.64900414,60608,545,4380
41.83315383,-87.67098242,60608,707,8732
41.83425756,-87.66329579,60608,1021,6888
41.84158533,-87.66886393,60608,762,8869
41.8412041,-87.67720788,60608,993,10392
41.8505545,-87.66052358,60608,726,5751
41.83935937,-87.68868311,60608,948,10227
41.85422522,-87.68689926,60608,817,7552
41.83334634,-87.68249862,60608,732,8870
41.86286403,-87.67509531,60608,604,5699
41.80167875,-87.67922686,60609,1160,12637
41.82852273,-87.66045594,60609,910,10080
41.79720411,-87.67568264,60609,1239,15510
41.80511025,-87.64014763,60609,865,10821
41.8221912,-87.64794267,60609,819,9808
41.8158022,-87.66884677,60609,1049,12159
41.80366236,-87.65526172,60609,938,12292
41.80342406,-87.63826149,60609,929,11279
41.80287389,-87.6669103,60609,1126,13321
41.82168251,-87.66152209,60609,904,10889
41.90067557,-87.63303702,60610,617,2840
41.90493946,-87.6479861,60610,724,6735
41.90824611,-87.63927861,60610,949,4243
41.90376596,-87.62691319,60610,833,3403
41.90701162,-87.62627624,60610,731,6563
41.90506501,-87.63125583,60610,860,3560
41.89762501,-87.64516808,60610,691,4893
41.88996453,-87.61221316,60611,586,3610
41.88998609,-87.62232174,60611,474,3019
41.89515946,-87.6218552,60611,704,2749
41.89574898,-87.62803479,60611,652,2608
41.89035534,-87.61836968,60611,528,3475
41.87747862,-87.6881951,60612,532,5547
41.8823112,-87.70361068,60612,697,7427
41.88972064,-87.67704352,60612,667,5957
41.87785842,-87.6807517,60612,539,5467
41.88539199,-87.67101238,60612,688,5931
41.8813941,-87.70444671,60612,702,7341
41.95726777,-87.65397149,60613,1106,12067
41.95672171,-87.6592054,60613,1213,12800
41.95500123,-87.67515822,60613,1344,13507
41.95506785,-87.67755745,60613,1351,11835
41.95506044,-87.66743072,60613,1199,12852
41.95130791,-87.65766767,60613,1157,12363
41.9504682,-87.64688183,60613,1022,11631
41.95442454,-87.66380788,60613,1125,12464
41.95693555,-87.64966894,60613,1006,11564
41.95680459,-87.6547133,60613,1089,11961
41.91563631,-87.65045554,60614,942,7771
41.92125322,-87.62871044,60614,747,8129
41.92606338,-87.66360286,60614,906,9595
41.9177916,-87.65926797,60614,896,9602
41.92693136,-87.67390263,60614,832,9161
41.80060912,-87.59019938,60615,967,10530
41.81016766,-87.59019713,60615,756,9064
41.79987842,-87.60063899,60615,1103,11122
41.80721392,-87.611978,60615,917,11460
41.80041642,-87.5857163,60615,969,10441
41.80221113,-87.60617687,60615,994,12549
41.79542387,-87.57890871,60615,799,10896
41.85322004,-87.63617068,60616,635,3467
41.85036649,-87.64064142,60616,620,4061
41.83391556,-87.62579169,60616,672,7373
41.83178542,-87.61377555,60616,835,8647
41.85112478,-87.61047432,60616,680,4427
41.83805646,-87.6276859,60616,517,6642
41.84376037,-87.61746887,60616,710,8080
41.83111206,-87.64329422,60616,678,8438
41.68212425,-87.57391235,60617,1393,27658
41.72839345,-87.55557088,60617,1064,21552
41.67439908,-87.53658085,60617,1905,35028
41.7080691,-87.54988966,60617,1464,24245
41.71293983,-87.57649203,60617,1360,26408
41.69238589,-87.54264645,60617,1603,27844
41.68919409,-87.5262762,60617,1547,27574
41.70780975,-87.572538,60617,1215,25090
41.95784829,-87.71805093,60618,1108,13704
41.93840139,-87.72464413,60618,965,12817
41.95327883,-87.69448906,60618,1236,13626
41.94353211,-87.69230718,60618,1080,12551
41.95578477,-87.693922,60618,1246,13669
41.9446654,-87.71003731,60618,952,12724
