,latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
68,41.79091024967612,-87.77982860846757,60638,1383,19376
69,41.781347217887145,-87.75981842038426,60638,1292,19235
70,41.77857570568866,-87.75281701563948,60638,1417,20356
71,41.74171848539165,-87.69529624826195,60652,1749,23625
72,41.756612363888074,-87.73449456206042,60652,1830,21556
73,41.737700227467904,-87.68878576396433,60652,1735,23964
74,41.74018412644231,-87.71952028585956,60652,1999,21841
75,41.75493606551047,-87.7209411134425,60652,1770,20131
76,41.74237461629956,-87.73451316334034,60652,1936,23148
77,41.75421423209357,-87.70126875655536,60652,1819,22207
78,41.735097730597204,-87.73689444498163,60652,2003,23730
79,41.74667369948405,-87.6938453186856,60652,1828,22646
80,41.73509173665733,-87.71215316364749,60652,1977,26417
81,41.74131802456691,-87.69284598237438,60652,1720,23502
82,41.74294017830896,-87.71337859849747,60652,1934,23595
83,41.73525763072045,-87.70304913138025,60652,1988,26298
84,42.01839830838776,-87.67519863290772,60626,1753,19150
85,42.01401857983327,-87.66620843099619,60626,1523,17836
86,42.01229225997196,-87.66561364101662,60626,1526,17659
87,42.00785560303503,-87.66302850980836,60626,1436,17092
88,42.00855458917161,-87.6693132278745,60626,1568,17664
89,42.008706087883915,-87.67404657470716,60626,1579,17658
90,42.016943027872635,-87.67664136464606,60626,1760,18879
91,42.01847416115829,-87.6785954393312,60626,1774,18958
92,42.019811388395176,-87.66839755575359,60626,1611,18533
93,42.02181149897386,-87.67166367361864,60626,1715,18998
94,41.80381229452033,-87.59171271026113,60615,964,10926
95,41.80576889597371,-87.60854722807494,60615,1006,10128
96,41.807762436835546,-87.62123290380265,60615,812,10899
97,41.803723906012316,-87.59002216936992,60615,892,10495
98,41.80591830813679,-87.59615483008157,60615,896,10407
99,41.79696538300236,-87.62317393697295,60615,926,12464
100,41.80632163662266,-87.61376052680234,60615,979,11680
101,41.779565331382145,-87.64406920606835,60621,990,14394
102,41.771212623078206,-87.63044282197487,60621,980,14302
103,41.774150941444994,-87.653593077494,60621,1206,16208
104,41.76876307514805,-87.63085320433755,60621,982,14571
105,41.765404249971624,-87.64341280874422,60621,1114,16529
106,41.79378306632976,-87.62594159149246,60621,920,12711
107,41.76463530646717,-87.63239965974536,60621,1062,15857
108,41.78075139958823,-87.63980439602892,60621,983,14144
109,41.772745340049475,-87.63013327037116,60621,912,14064
110,41.779345726427366,-87.6411248339654,60621,979,14215
111,41.789432843607116,-87.63465127938554,60621,933,12539
112,41.773052839686116,-87.64492415249214,60621,1105,15323
113,41.761030190187874,-87.64014054044183,60621,1099,17345
114,42.00213889019747,-87.68769331287093,60645,1687,18819
115,42.003426385812254,-87.69562322435716,60645,1733,19060
116,42.01834218172745,-87.68455839732765,60645,1671,19035
117,42.01480825871528,-87.6864750968539,60645,1703,18895
118,42.018916772499004,-87.6966484964575,60645,1755,26994
119,42.01805099968435,-87.70522401679536,60645,1711,26388
120,42.016550064379544,-87.68071216528548,60645,1717,19121
121,42.00577959700555,-87.69441660148175,60645,1687,18801
122,42.00996328884558,-87.68546056117749,60645,1637,18489
123,41.99808774407132,-87.69008843053287,60645,1553,18002
124,42.0184628087818,-87.68200521369893,60645,1764,19229
125,41.99900354108019,-87.7013828469682,60645,1782,19063
126,41.69358943246191,-87.678484279141,60643,1484,27126
127,41.68951651456815,-87.66382040425079,60643,1293,25732
128,41.69229857383244,-87.65921755811088,60643,1208,25251
129,41.70910321020552,-87.64650710007764,60643,1246,22850
130,41.68977554345602,-87.65240073857488,60643,1352,26130
131,41.71780625598612,-87.66290988434004,60643,1368,23951
132,41.71909295987154,-87.64436983828179,60643,1225,22588
133,41.70721584916405,-87.65633858615458,60643,1326,23668
134,41.708276605794865,-87.64556376793637,60643,1212,22752
135,41.677503817375225,-87.65624588208644,60643,1328,27286
136,41.710090028577575,-87.6595410752294,60643,1358,23853
137,41.68155321114965,-87.67534028831587,60643,1469,27275
138,41.996029697235144,-87.6741219872244,60660,1398,16565
139,41.98717571424757,-87.66153728004404,60660,1145,14782
140,41.988045243487306,-87.66538531074599,60660,1173,15139
141,41.98699786089908,-87.66755367931493,60660,1241,15660
