,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 60538: Summary level: 860, zip code tabulation area:60538",35577.0,95082,31.4,18.8,6.0,29343,2013,2585,2490,2922,1904,1873,2081,2200,2103,1973,1729,1374,1095,966,861,619,344,211,80.6,6.2,0.4,1.1,30.1,60538
"ZCTA5 60552: Summary level: 860, zip code tabulation area:60552",39931.0,88172,34.8,16.4,2.0,4348,237,232,375,232,211,154,271,312,306,279,378,340,447,162,188,80,76,68,96.3,0.3,0.0,0.4,3.0,60552
"ZCTA5 60555: Summary level: 860, zip code tabulation area:60555",42363.0,103253,16.7,31.4,4.0,13273,577,887,787,1023,1033,748,975,1029,762,993,979,803,936,704,474,296,210,57,86.3,4.8,0.0,5.4,17.4,60555
"ZCTA5 60556: Summary level: 860, zip code tabulation area:60556",36016.0,85620,27.3,15.4,4.2,2124,135,209,139,177,132,84,95,214,151,143,82,153,160,108,68,28,24,22,95.2,1.2,0.3,0.0,8.5,60556
"ZCTA5 60561: Summary level: 860, zip code tabulation area:60561",46532.0,125520,16.9,32.5,3.9,22955,782,1161,1290,1407,1272,1288,1328,1306,1479,1400,1745,1880,1769,1811,1126,994,394,523,79.1,3.8,0.0,11.9,6.4,60561
"ZCTA5 60614: Summary level: 860, zip code tabulation area:60614",67213.0,183890,5.2,47.9,2.6,71954,3738,2637,2512,3449,8056,14306,9256,5372,3496,3962,2753,2975,2713,2517,1735,1000,787,690,84.0,4.3,0.0,7.3,6.2,60614
"ZCTA5 60615: Summary level: 860, zip code tabulation area:60615",32746.0,73926,12.2,25.4,9.0,40590,2054,1762,1413,1813,4853,4724,3467,3028,2210,2197,2216,2050,2392,2144,1595,1026,914,732,31.1,54.8,0.3,8.6,5.5,60615
"ZCTA5 60619: Summary level: 860, zip code tabulation area:60619",23305.0,50819,26.6,14.6,16.1,61207,3861,3403,3463,3137,3806,4679,4167,3480,3147,3644,4058,5128,4776,3230,2191,1860,1490,1687,1.8,95.7,0.1,0.2,1.3,60619
"ZCTA5 60621: Summary level: 860, zip code tabulation area:60621",15672.0,34586,35.6,7.1,24.4,28018,2387,2027,1882,1912,1903,2217,1823,1325,1474,1332,1884,1935,1948,1054,1166,627,562,560,2.2,95.0,0.3,0.2,3.2,60621
"ZCTA5 60636: Summary level: 860, zip code tabulation area:60636",18780.0,41196,40.3,6.1,27.2,30024,1859,1672,1979,2029,1932,1894,1543,1761,1533,1899,1766,2203,1633,1386,2012,1734,667,522,5.6,88.0,0.1,0.1,9.4,60636
"ZCTA5 60639: Summary level: 860, zip code tabulation area:60639",23463.0,64716,31.0,8.9,7.4,88204,6161,6726,6303,6479,6830,6087,6804,6636,6588,5983,4725,5454,4730,3304,2163,1617,978,636,46.6,13.5,0.5,1.5,78.0,60639
"ZCTA5 60643: Summary level: 860, zip code tabulation area:60643",33387.0,92002,21.3,19.8,10.3,48887,2989,2082,3565,3147,2772,2035,3039,2864,2737,2903,3910,3847,3828,2938,1979,1362,1721,1169,23.3,72.6,0.2,0.3,3.1,60643
"ZCTA5 60647: Summary level: 860, zip code tabulation area:60647",41029.0,109731,19.4,34.2,4.0,87633,5848,3831,3771,3730,6675,14263,12565,8843,5949,5498,3816,3622,2907,2394,1786,1014,608,513,77.5,5.8,0.5,3.6,42.9,60647
"ZCTA5 60935: Summary level: 860, zip code tabulation area:60935",31393.0,92897,42.1,7.7,5.0,1229,88,60,100,140,46,43,88,104,108,33,80,95,87,80,35,22,11,9,95.4,1.1,0.0,0.3,3.3,60935
"ZCTA5 60936: Summary level: 860, zip code tabulation area:60936",29561.0,68004,31.9,18.3,4.4,4074,181,324,173,295,163,272,165,220,322,214,286,287,374,152,234,131,82,199,96.8,1.0,0.4,0.9,0.4,60936
"ZCTA5 60948: Summary level: 860, zip code tabulation area:60948",32281.0,88972,27.0,22.7,10.8,1570,74,92,99,156,107,88,14,45,66,139,68,135,135,122,107,56,50,17,94.8,0.8,0.0,0.8,1.7,60948
"ZCTA5 60950: Summary level: 860, zip code tabulation area:60950",30068.0,80214,34.6,15.1,5.7,11592,433,739,835,776,718,764,390,723,514,901,856,933,533,611,742,333,368,423,93.7,2.8,0.0,0.8,6.5,60950
"ZCTA5 60960: Summary level: 860, zip code tabulation area:60960",30839.0,70994,35.4,9.6,1.9,1036,28,31,138,89,80,37,22,82,81,67,67,78,47,57,58,16,49,9,97.6,0.7,0.2,0.0,9.0,60960
"ZCTA5 60969: Summary level: 860, zip code tabulation area:60969",33500.0,64645,21.1,0.0,0.0,78,14,9,6,4,7,7,7,9,4,0,0,4,1,2,2,2,0,0,100.0,0.0,0.0,0.0,0.0,60969
"ZCTA5 60973: Summary level: 860, zip code tabulation area:60973",25278.0,56785,37.4,10.9,8.1,345,35,30,27,22,20,21,19,20,18,7,17,12,12,48,13,12,4,8,94.8,0.0,0.0,0.0,7.2,60973
"ZCTA5 60004: Summary level: 860, zip code tabulation area:60004",50863.0,126454,15.0,36.5,3.1,50639,3105,3385,3171,2728,1609,2655,3054,3452,3272,3698,3419,3870,3738,2951,2044,1674,1137,1677,83.5,1.1,0.1,10.0,8.8,60004
"ZCTA5 60033: Summary level: 860, zip code tabulation area:60033",28196.0,72142,35.2,10.8,7.3,13703,773,1256,1407,879,852,799,979,968,636,651,925,949,865,773,418,217,142,214,93.2,0.2,0.1,0.1,39.2,60033
"ZCTA5 60042: Summary level: 860, zip code tabulation area:60042",40114.0,93291,33.8,20.4,2.5,8556,503,468,524,485,531,324,521,541,660,665,952,766,481,474,270,149,110,132,93.9,0.2,0.0,2.8,13.2,60042
"ZCTA5 60043: Summary level: 860, zip code tabulation area:60043",105962.0,324024,1.4,41.6,5.0,2460,152,223,283,199,114,37,23,120,143,180,179,272,167,84,100,60,53,71,93.9,0.0,0.0,4.7,3.3,60043
"ZCTA5 60093: Summary level: 860, zip code tabulation area:60093",85504.0,318850,4.8,41.0,2.6,19409,1262,1988,1466,1507,530,367,803,985,1106,1601,1536,1449,1136,1300,1024,633,378,338,92.3,0.3,0.4,5.0,5.9,60093
"ZCTA5 60108: Summary level: 860, zip code tabulation area:60108",41113.0,110424,25.3,24.4,4.1,22494,1395,1148,1050,1005,1400,1345,1612,1837,1032,1389,1490,1322,1803,1370,1020,926,570,780,77.7,4.7,0.6,13.9,10.3,60108
"ZCTA5 60109: Summary level: 860, zip code tabulation area:60109",30000.0,116506,30.5,23.4,3.3,614,38,34,26,50,73,20,20,35,27,65,59,28,45,47,4,13,12,18,98.2,0.0,0.0,0.0,3.7,60109
"ZCTA5 60119: Summary level: 860, zip code tabulation area:60119",43795.0,127136,17.1,30.5,2.3,10119,530,519,946,767,539,539,372,435,798,567,906,945,877,638,286,85,180,190,93.7,1.7,0.3,2.3,11.6,60119
"ZCTA5 60130: Summary level: 860, zip code tabulation area:60130",41892.0,84007,16.9,27.9,5.4,13927,614,581,512,308,848,1271,1596,1343,749,855,863,1264,909,890,542,347,241,194,57.9,28.5,0.6,6.0,9.2,60130
"ZCTA5 60136: Summary level: 860, zip code tabulation area:60136",51541.0,112048,20.7,30.6,6.2,7823,821,535,972,24,105,760,1094,713,379,572,650,471,169,469,79,0,0,10,71.0,0.0,0.0,15.1,18.7,60136
"ZCTA5 60150: Summary level: 860, zip code tabulation area:60150",36679.0,96051,18.0,19.6,5.3,1934,84,69,175,110,162,68,85,106,150,126,180,211,101,68,110,58,58,13,97.8,0.0,0.0,0.3,9.3,60150
"ZCTA5 60178: Summary level: 860, zip code tabulation area:60178",37386.0,88886,20.4,23.9,3.9,22374,1691,1074,1869,1936,1377,1237,1438,1299,1563,1396,1412,1554,1236,1172,800,673,312,335,91.8,3.3,0.0,1.8,6.6,60178
"ZCTA5 60191: Summary level: 860, zip code tabulation area:60191",32367.0,90340,36.8,16.1,5.7,14021,683,879,577,811,1108,1009,979,720,853,946,1039,985,1107,553,665,405,288,414,77.5,2.2,0.1,8.7,23.5,60191
"ZCTA5 60195: Summary level: 860, zip code tabulation area:60195",56685.0,91990,9.4,39.9,2.8,5020,547,439,115,255,262,549,776,490,504,208,102,203,238,125,86,63,32,26,40.2,9.5,0.0,43.2,7.3,60195
"ZCTA5 60421: Summary level: 860, zip code tabulation area:60421",38093.0,97302,43.9,11.7,3.5,3810,230,222,175,196,199,179,283,280,378,294,203,296,271,224,185,99,42,54,97.8,0.3,0.0,0.5,8.8,60421
"ZCTA5 60431: Summary level: 860, zip code tabulation area:60431",39518.0,105759,31.7,17.1,5.1,24202,1816,1804,1895,1600,1492,1598,1968,1413,1940,1818,1528,1315,1228,1078,823,481,212,193,77.1,13.9,0.2,2.0,22.3,60431
"ZCTA5 60432: Summary level: 860, zip code tabulation area:60432",24930.0,59245,29.5,8.0,6.0,20062,1420,1651,2002,1698,1510,1281,1395,1577,1485,1413,1124,1012,778,567,493,318,197,141,48.5,18.8,0.2,0.3,59.9,60432
"ZCTA5 60163: Summary level: 860, zip code tabulation area:60163",29083.0,81341,36.3,10.0,7.3,5103,320,302,260,285,308,333,546,235,227,208,422,528,334,165,235,147,78,170,51.3,29.0,0.5,2.4,37.6,60163
"ZCTA5 60171: Summary level: 860, zip code tabulation area:60171",29781.0,72012,40.5,14.1,5.5,10076,709,710,672,406,408,550,1140,729,516,451,845,791,689,417,465,265,71,242,83.4,1.3,0.0,1.4,31.7,60171
"ZCTA5 60174: Summary level: 860, zip code tabulation area:60174",41171.0,118667,17.5,28.0,3.4,31219,1489,1742,2045,1715,2141,1744,1948,1743,1717,2253,2668,2494,2072,1757,1456,786,662,787,87.1,1.6,0.5,2.7,11.9,60174
"ZCTA5 60194: Summary level: 860, zip code tabulation area:60194",42042.0,97579,21.1,31.6,5.2,19525,1363,1123,1049,848,750,1450,1508,1521,1253,1365,1399,1409,1333,1014,621,546,349,624,56.5,5.1,0.9,25.2,14.0,60194
"ZCTA5 60305: Summary level: 860, zip code tabulation area:60305",67597.0,228127,4.2,38.6,2.2,10970,643,656,1035,1107,644,280,279,584,610,740,1075,811,671,706,457,245,198,229,85.2,6.2,0.0,3.9,5.7,60305
"ZCTA5 60420: Summary level: 860, zip code tabulation area:60420",31560.0,71171,41.6,10.6,4.3,4846,318,213,284,313,324,182,254,404,214,303,408,333,360,192,285,148,200,111,97.3,0.3,0.0,1.1,2.9,60420
"ZCTA5 60423: Summary level: 860, zip code tabulation area:60423",49735.0,135398,23.0,29.1,4.3,31418,1120,2310,2682,2556,1918,1201,1081,1678,2061,2661,2726,2446,2120,1995,1415,737,345,366,88.8,5.6,0.1,2.8,5.3,60423
"ZCTA5 60070: Summary level: 860, zip code tabulation area:60070",31813.0,101066,22.4,20.1,3.0,15908,1256,1013,1261,1098,549,882,1337,1071,1094,900,937,1006,1022,865,562,394,340,321,65.5,2.1,0.0,8.8,36.4,60070
"ZCTA5 60020: Summary level: 860, zip code tabulation area:60020",33188.0,76471,34.3,16.5,4.4,10422,793,368,476,551,657,445,489,811,781,656,780,1032,607,656,486,344,187,303,93.6,0.8,0.0,1.9,9.0,60020
"ZCTA5 60034: Summary level: 860, zip code tabulation area:60034",30426.0,91839,30.1,15.5,5.4,2088,168,148,99,95,148,162,186,83,81,125,186,178,154,144,57,22,23,29,98.1,0.8,0.1,0.0,10.5,60034
"ZCTA5 60047: Summary level: 860, zip code tabulation area:60047",54783.0,183819,13.4,35.7,3.0,42608,2071,2730,3717,3326,2521,1552,2261,2207,2585,3749,4124,3651,2771,2112,1295,757,528,651,82.7,1.9,0.0,11.0,7.0,60047
"ZCTA5 60008: Summary level: 860, zip code tabulation area:60008",38246.0,96381,21.0,22.2,3.7,21663,1535,1379,1195,982,1288,1748,2085,1184,1389,1273,1454,1684,1089,1005,662,724,431,556,73.8,4.3,0.1,7.3,26.8,60008
"ZCTA5 60160: Summary level: 860, zip code tabulation area:60160",26893.0,64017,34.6,8.7,4.6,25666,2147,2190,1993,1752,1366,2026,2325,1925,2087,1549,902,1450,1259,635,711,448,541,360,58.4,6.6,0.5,0.7,75.3,60160
"ZCTA5 60091: Summary level: 860, zip code tabulation area:60091",68095.0,243403,4.6,33.9,4.2,27165,1625,1876,2742,2032,621,510,637,1453,1903,2090,2352,2282,1814,1560,1323,862,745,738,83.2,0.8,0.1,12.8,2.7,60091
"ZCTA5 60111: Summary level: 860, zip code tabulation area:60111",98177.0,205549,31.0,15.5,0.0,163,0,0,0,8,0,0,0,0,0,0,0,42,10,42,30,0,0,31,100.0,0.0,0.0,0.0,0.0,60111
"ZCTA5 60142: Summary level: 860, zip code tabulation area:60142",41327.0,91211,28.5,24.1,2.1,28647,1191,1777,1572,1867,1071,784,1114,1447,1625,2445,1156,1902,1582,2176,2198,1810,2197,733,89.1,2.7,0.0,5.6,10.1,60142
"ZCTA5 60157: Summary level: 860, zip code tabulation area:60157",42477.0,135146,26.9,22.8,3.1,2970,122,224,85,237,383,83,47,175,259,205,137,432,119,105,194,21,51,91,93.4,0.4,0.0,6.0,0.5,60157
"ZCTA5 60430: Summary level: 860, zip code tabulation area:60430",38580.0,87066,18.0,26.9,4.0,19691,947,1282,1515,1521,877,1001,983,1508,1250,1170,1449,1555,1369,1074,766,467,424,533,48.7,44.4,0.0,2.8,5.8,60430
"ZCTA5 60603: Summary level: 860, zip code tabulation area:60603",65125.0,257300,0.0,41.7,9.1,1052,5,0,0,192,148,169,98,33,18,58,49,125,37,48,56,16,0,0,62.8,3.9,0.0,32.0,3.2,60603
"ZCTA5 60914: Summary level: 860, zip code tabulation area:60914",31077.0,89134,28.6,20.0,4.0,29797,1572,1835,1878,3094,3097,1922,1726,1460,1735,1815,2014,2077,1565,1509,864,648,544,442,85.9,9.1,0.0,2.0,7.2,60914
"ZCTA5 60964: Summary level: 860, zip code tabulation area:60964",27273.0,69689,38.6,13.5,4.4,4857,302,253,256,383,346,222,231,335,271,234,403,354,309,292,250,193,158,65,81.8,11.1,0.6,0.5,9.9,60964
"ZCTA5 60924: Summary level: 860, zip code tabulation area:60924",31573.0,67219,38.8,16.6,0.0,1515,110,101,70,81,55,74,70,86,78,48,80,124,121,155,91,56,65,50,97.0,0.0,0.0,0.0,1.7,60924
"ZCTA5 60053: Summary level: 860, zip code tabulation area:60053",37680.0,101967,21.2,28.3,2.4,23089,960,1258,1164,1226,1025,1034,1152,1485,1324,1536,1673,1767,1555,1944,1451,1063,688,784,60.1,2.6,0.0,31.1,6.8,60053
"ZCTA5 60478: Summary level: 860, zip code tabulation area:60478",31334.0,73046,27.3,18.5,16.7,16769,675,724,1358,1350,943,1180,1107,928,921,856,1218,1306,1239,1296,517,434,356,361,7.3,89.7,0.0,2.0,3.7,60478
"ZCTA5 60501: Summary level: 860, zip code tabulation area:60501",25631.0,66380,30.6,10.0,8.2,11874,904,929,1280,966,689,816,811,923,774,671,686,586,629,353,290,184,152,231,63.4,7.4,0.2,3.1,72.5,60501
"ZCTA5 60504: Summary level: 860, zip code tabulation area:60504",40171.0,104527,17.2,27.9,4.7,39070,2823,2730,3463,2572,3275,2540,2761,3133,3429,3412,2521,2288,1507,1061,644,498,224,189,63.0,10.7,0.4,16.5,23.5,60504
"ZCTA5 60510: Summary level: 860, zip code tabulation area:60510",43180.0,124015,16.4,30.6,3.9,29332,1694,1823,2207,1975,1704,1449,1768,1986,1711,2387,2227,2230,1941,1447,1046,622,528,587,89.0,2.6,0.1,1.7,8.0,60510
"ZCTA5 60512: Summary level: 860, zip code tabulation area:60512",52438.0,127355,30.6,19.8,0.0,1010,53,67,0,22,0,110,142,0,92,54,51,93,13,87,0,82,0,144,92.7,7.3,0.0,0.0,21.3,60512
"ZCTA5 60513: Summary level: 860, zip code tabulation area:60513",43275.0,95447,21.4,26.8,3.1,18753,1472,1490,1179,1136,623,842,1181,1701,1449,1239,1381,1384,1211,791,570,498,318,288,84.8,5.2,0.2,2.1,22.9,60513
"ZCTA5 60516: Summary level: 860, zip code tabulation area:60516",45792.0,116267,16.9,33.1,4.7,29208,1715,1762,1471,1511,1485,1936,1535,1944,1642,1720,2050,2473,2164,2404,1293,709,639,755,86.8,4.6,0.1,5.9,7.0,60516
"ZCTA5 60526: Summary level: 860, zip code tabulation area:60526",52715.0,128916,12.0,32.2,4.0,13451,828,965,1094,819,610,565,708,1012,854,958,1149,770,678,635,631,279,288,608,89.9,3.7,0.0,2.0,10.4,60526
"ZCTA5 60532: Summary level: 860, zip code tabulation area:60532",47421.0,112556,14.1,33.8,5.0,27956,1578,1761,1197,1591,2053,2197,2304,1859,1888,1450,1972,1934,1826,1292,1053,697,527,777,77.6,4.5,0.2,12.9,7.5,60532
"ZCTA5 60549: Summary level: 860, zip code tabulation area:60549",47206.0,117781,32.7,31.9,0.0,190,0,0,12,25,40,0,12,0,25,0,0,22,0,20,34,0,0,0,100.0,0.0,0.0,0.0,0.0,60549
"ZCTA5 60534: Summary level: 860, zip code tabulation area:60534",32379.0,72203,37.1,10.5,6.1,10452,744,931,604,662,602,873,955,612,607,420,828,716,552,553,270,170,141,212,78.8,5.2,0.0,0.7,51.8,60534
"ZCTA5 60544: Summary level: 860, zip code tabulation area:60544",39888.0,100385,26.7,22.5,4.3,27426,1642,1913,2246,1852,1700,1335,1370,1365,2299,2231,1689,1578,1202,1382,1033,981,707,901,78.8,9.8,0.0,4.9,14.9,60544
"ZCTA5 60548: Summary level: 860, zip code tabulation area:60548",29489.0,80231,35.1,12.8,4.4,12054,738,641,720,841,1237,646,678,682,574,841,716,722,922,721,424,436,214,301,94.2,0.5,0.1,0.0,10.4,60548
"ZCTA5 60557: Summary level: 860, zip code tabulation area:60557",29133.0,93612,63.3,12.5,0.0,280,0,0,0,0,32,0,31,31,0,0,0,105,16,0,16,0,49,0,100.0,0.0,0.0,0.0,0.0,60557
"ZCTA5 60607: Summary level: 860, zip code tabulation area:60607",60709.0,136475,7.6,42.0,6.5,29293,1317,1035,547,2222,4407,4893,4249,2967,1617,1490,964,1190,851,552,341,310,177,164,58.5,14.3,0.2,21.7,7.3,60607
"ZCTA5 60609: Summary level: 860, zip code tabulation area:60609",21759.0,52209,40.6,9.6,15.0,60939,4648,4390,4300,4269,4904,5706,4286,3881,4079,3518,3878,2857,2850,2592,2195,1528,575,483,43.9,25.1,0.7,6.2,53.0,60609
"ZCTA5 60625: Summary level: 860, zip code tabulation area:60625",33056.0,94477,17.7,30.2,5.0,79444,5762,4409,3711,3966,4957,8040,9093,7985,6086,5150,4490,4015,3723,2885,1779,1226,1037,1130,65.3,4.8,0.2,13.6,32.1,60625
"ZCTA5 60646: Summary level: 860, zip code tabulation area:60646",45842.0,126843,17.7,29.0,4.8,28569,1801,1802,1854,1654,913,1670,1783,1681,1779,2136,2184,1595,1803,1743,1164,1067,1024,916,84.7,1.0,0.0,9.7,15.1,60646
"ZCTA5 60652: Summary level: 860, zip code tabulation area:60652",30582.0,79416,28.5,13.4,11.2,43447,2695,3301,3607,3087,3177,2510,2665,2732,3103,3063,2947,3186,2313,1840,1190,844,532,655,29.1,45.6,0.1,1.1,41.5,60652
"ZCTA5 60805: Summary level: 860, zip code tabulation area:60805",37577.0,90252,23.3,20.5,3.6,19479,1232,1287,1323,1324,1170,1315,1114,1010,1343,1238,1618,1534,1297,907,584,470,267,446,67.1,27.0,0.1,0.8,13.9,60805
"ZCTA5 60912: Summary level: 860, zip code tabulation area:60912",25000.0,49114,48.8,3.7,8.4,502,37,27,24,17,20,45,18,36,16,24,31,33,43,48,48,15,9,11,91.8,2.2,0.4,0.4,5.8,60912
"ZCTA5 60922: Summary level: 860, zip code tabulation area:60922",35321.0,73099,25.6,14.0,8.2,2576,174,213,206,186,197,191,251,163,110,117,204,155,144,78,89,22,15,61,86.1,4.1,0.0,0.1,13.1,60922
"ZCTA5 60926: Summary level: 860, zip code tabulation area:60926",34167.0,75633,35.7,7.1,0.0,42,0,0,0,0,0,0,11,2,2,0,3,9,0,6,6,3,0,0,95.2,0.0,0.0,0.0,4.8,60926
"ZCTA5 60930: Summary level: 860, zip code tabulation area:60930",25945.0,61908,48.1,13.8,6.1,985,38,91,56,114,10,48,55,63,100,33,51,38,34,48,51,41,35,79,97.6,0.8,0.0,0.7,1.9,60930
"ZCTA5 60932: Summary level: 860, zip code tabulation area:60932",-666666666.0,59727,0.0,0.0,0.0,61,0,7,0,6,0,0,8,0,0,8,18,14,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,60932
"ZCTA5 60938: Summary level: 860, zip code tabulation area:60938",25250.0,62079,39.2,7.2,4.2,1975,148,100,144,90,128,64,162,92,148,90,102,115,144,76,142,86,81,63,81.3,1.0,0.3,0.3,17.2,60938
"ZCTA5 60945: Summary level: 860, zip code tabulation area:60945",35250.0,71874,59.8,11.0,0.0,179,9,14,14,13,2,8,4,12,7,15,14,14,5,14,15,11,6,2,79.9,10.6,0.0,1.1,0.0,60945
"ZCTA5 60007: Summary level: 860, zip code tabulation area:60007",42826.0,100953,24.0,23.6,3.8,33161,1680,1664,1906,1402,1705,2151,2279,2369,1952,2305,2426,2482,2467,1835,1620,1131,1016,771,82.6,1.6,0.0,9.5,11.8,60007
"ZCTA5 60012: Summary level: 860, zip code tabulation area:60012",50763.0,155367,17.7,28.6,3.1,10647,407,470,855,1034,556,334,334,438,605,836,1293,1110,869,459,408,286,144,209,96.4,1.4,0.0,1.5,3.5,60012
"ZCTA5 60013: Summary level: 860, zip code tabulation area:60013",41307.0,123602,20.1,29.0,4.4,26454,1375,1330,2224,1815,1832,1456,1435,1563,1504,1862,2359,2604,1833,1458,898,393,277,236,93.7,1.5,0.1,1.4,10.7,60013
"ZCTA5 62560: Summary level: 860, zip code tabulation area:62560",31842.0,69164,37.0,11.1,5.3,1355,120,93,44,82,51,59,115,43,67,107,93,133,107,95,39,40,31,36,96.5,0.0,1.0,1.6,0.1,62560
"ZCTA5 62570: Summary level: 860, zip code tabulation area:62570",29028.0,66665,50.5,7.8,4.6,454,37,28,19,57,18,25,6,19,50,40,29,33,24,18,22,18,9,2,100.0,0.0,0.0,0.0,0.9,62570
"ZCTA5 62617: Summary level: 860, zip code tabulation area:62617",25476.0,50255,55.2,5.8,14.5,659,22,33,47,24,15,31,27,54,45,54,34,74,60,51,51,28,7,2,96.4,0.0,0.0,0.0,0.0,62617
"ZCTA5 62638: Summary level: 860, zip code tabulation area:62638",34226.0,94973,47.4,13.0,4.4,1242,60,81,107,48,33,78,55,77,73,76,58,140,145,73,42,30,40,26,99.7,0.0,0.0,0.3,0.0,62638
"ZCTA5 62640: Summary level: 860, zip code tabulation area:62640",32071.0,78236,41.1,11.5,6.1,3668,210,272,199,190,204,163,186,196,222,251,305,245,210,289,223,84,93,126,98.3,0.1,0.0,0.9,0.5,62640
"ZCTA5 62663: Summary level: 860, zip code tabulation area:62663",23958.0,58545,63.4,3.4,6.2,258,24,9,12,16,22,15,2,9,5,16,38,32,13,9,13,8,10,5,98.1,0.0,0.0,0.0,0.0,62663
"ZCTA5 62685: Summary level: 860, zip code tabulation area:62685",31189.0,73572,37.6,17.1,3.6,2310,148,142,184,91,76,113,126,107,155,185,151,187,200,143,85,120,86,11,91.3,4.0,1.2,0.1,1.3,62685
"ZCTA5 62692: Summary level: 860, zip code tabulation area:62692",28208.0,67108,43.2,11.6,6.4,2152,113,155,186,132,125,125,189,98,113,122,127,125,104,158,105,93,47,35,96.6,1.0,0.0,1.2,0.6,62692
"ZCTA5 62703: Summary level: 860, zip code tabulation area:62703",24932.0,53325,34.4,12.6,10.4,29830,2007,2017,2000,2621,2038,2501,2007,1819,1605,1517,1568,1881,1871,1454,1027,685,644,568,58.7,34.3,0.2,1.1,3.8,62703
"ZCTA5 62811: Summary level: 860, zip code tabulation area:62811",17455.0,36942,31.2,3.5,12.3,290,12,31,44,22,8,15,13,13,19,22,18,23,15,8,17,8,0,2,96.2,0.0,0.0,0.0,3.4,62811
"ZCTA5 62812: Summary level: 860, zip code tabulation area:62812",25828.0,61954,29.8,12.9,6.9,10881,613,730,617,631,494,656,682,680,637,697,689,844,581,749,499,450,275,357,95.8,1.1,0.1,1.4,2.6,62812
"ZCTA5 62816: Summary level: 860, zip code tabulation area:62816",31293.0,66665,37.0,7.7,8.4,1276,62,75,64,73,64,62,75,72,95,95,80,96,86,108,70,34,41,24,97.8,0.2,0.1,0.0,0.8,62816
"ZCTA5 62815: Summary level: 860, zip code tabulation area:62815",32308.0,71315,36.2,1.8,4.6,284,12,9,13,20,6,17,0,13,21,12,39,65,16,29,10,0,1,1,95.4,0.0,0.0,0.0,0.0,62815
"ZCTA5 62868: Summary level: 860, zip code tabulation area:62868",35377.0,85164,35.2,8.0,4.7,1986,185,176,150,107,85,160,83,145,139,121,172,104,32,129,76,55,52,15,98.1,0.5,0.0,0.2,0.8,62868
"ZCTA5 62898: Summary level: 860, zip code tabulation area:62898",32992.0,79881,31.8,15.0,7.4,2184,143,157,180,139,92,124,121,147,113,217,152,179,157,88,78,65,10,22,96.7,0.5,0.0,0.9,0.5,62898
"ZCTA5 62853: Summary level: 860, zip code tabulation area:62853",30688.0,74339,30.3,11.0,4.1,894,49,89,27,49,63,40,45,58,31,69,64,76,69,47,47,46,3,22,97.0,0.0,0.0,1.6,1.9,62853
"ZCTA5 62861: Summary level: 860, zip code tabulation area:62861",20650.0,51268,38.9,2.7,13.9,166,0,7,16,15,15,3,14,4,26,9,1,9,26,19,2,0,0,0,100.0,0.0,0.0,0.0,0.0,62861
"ZCTA5 62907: Summary level: 860, zip code tabulation area:62907",29954.0,69704,44.3,9.1,2.8,2007,156,169,78,87,148,91,42,143,79,110,82,159,192,159,119,29,108,56,93.9,0.0,0.7,4.7,0.4,62907
"ZCTA5 62076: Summary level: 860, zip code tabulation area:62076",35750.0,59594,52.5,5.0,1.4,122,5,10,2,4,0,18,15,0,0,3,5,9,11,20,5,2,7,6,100.0,0.0,0.0,0.0,0.0,62076
"ZCTA5 62098: Summary level: 860, zip code tabulation area:62098",20833.0,-999999999,100.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0,8,0,7,3,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,62098
"ZCTA5 62248: Summary level: 860, zip code tabulation area:62248",32014.0,61980,29.1,10.7,2.4,396,14,44,31,24,22,40,36,41,13,34,22,10,10,7,27,9,9,3,99.2,0.0,0.0,0.8,0.0,62248
"ZCTA5 62282: Summary level: 860, zip code tabulation area:62282",32344.0,73324,37.2,9.3,9.1,389,9,22,20,21,16,11,13,23,28,31,26,19,38,27,38,17,28,2,95.6,0.0,0.0,1.3,2.6,62282
"ZCTA5 62305: Summary level: 860, zip code tabulation area:62305",36514.0,94416,31.5,20.3,2.7,19081,1122,1362,1040,952,833,911,1103,1051,1001,1162,1211,1662,1469,1039,1112,1036,633,382,95.5,2.0,0.7,1.1,1.6,62305
"ZCTA5 62622: Summary level: 860, zip code tabulation area:62622",41023.0,-999999999,65.6,18.8,0.0,42,0,0,7,3,0,0,0,0,5,6,0,0,11,0,10,0,0,0,100.0,0.0,0.0,0.0,0.0,62622
"ZCTA5 62711: Summary level: 860, zip code tabulation area:62711",54839.0,134207,18.7,32.7,3.0,16880,764,974,1127,964,545,471,798,916,933,1035,1424,1652,1143,1406,956,582,503,687,88.1,3.0,0.2,4.9,2.8,62711
"ZCTA5 62712: Summary level: 860, zip code tabulation area:62712",50564.0,121105,20.3,32.1,2.8,10395,490,634,516,798,796,417,460,627,848,604,759,1035,799,624,283,443,217,45,89.0,4.5,0.0,4.8,0.6,62712
