,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 61477: Summary level: 860, zip code tabulation area:61477",23681.0,44436,30.4,11.8,14.4,511,50,23,14,38,4,28,19,31,14,63,38,20,60,49,26,10,10,14,100.0,0.0,0.0,0.0,0.4,61477
"ZCTA5 61478: Summary level: 860, zip code tabulation area:61478",40625.0,101264,27.4,17.2,4.6,293,0,0,49,58,0,0,8,14,55,24,5,0,23,21,5,24,0,7,100.0,0.0,0.0,0.0,0.0,61478
"ZCTA5 61535: Summary level: 860, zip code tabulation area:61535",36176.0,121649,39.0,11.0,13.1,2003,79,79,174,192,64,125,45,103,243,160,175,252,27,116,78,27,42,22,95.1,1.7,0.0,0.0,0.0,61535
"ZCTA5 61539: Summary level: 860, zip code tabulation area:61539",29167.0,55920,40.0,6.1,0.0,173,15,12,6,5,20,9,10,18,3,16,12,16,6,10,10,4,1,0,98.8,0.0,0.0,0.0,2.3,61539
"ZCTA5 61567: Summary level: 860, zip code tabulation area:61567",25556.0,55230,51.2,4.1,11.5,506,2,25,21,70,21,8,7,10,80,52,18,27,36,42,58,20,7,2,95.7,0.0,0.0,0.0,0.0,61567
"ZCTA5 61704: Summary level: 860, zip code tabulation area:61704",47947.0,115649,16.4,37.4,2.0,36612,2700,2813,1847,2519,2112,2390,3347,2460,2347,1996,2394,2489,2662,1531,1123,787,574,521,75.6,7.6,0.4,12.8,4.4,61704
"ZCTA5 62959: Summary level: 860, zip code tabulation area:62959",27706.0,69867,32.5,13.5,5.3,28115,1656,1669,1651,1429,1285,1901,2213,1748,1884,1664,1966,1444,2012,1742,1519,1060,593,679,88.0,7.5,0.2,0.7,2.7,62959
"ZCTA5 62932: Summary level: 860, zip code tabulation area:62932",23125.0,52466,37.2,9.4,3.1,1400,102,65,104,43,129,127,82,32,72,77,73,136,122,85,75,35,26,15,95.6,0.9,0.5,0.3,3.7,62932
"ZCTA5 62934: Summary level: 860, zip code tabulation area:62934",24375.0,78597,38.3,8.8,4.9,720,9,35,27,39,10,36,16,58,49,33,48,105,59,63,56,58,11,8,100.0,0.0,0.0,0.0,0.0,62934
"ZCTA5 62948: Summary level: 860, zip code tabulation area:62948",24692.0,61308,28.1,15.7,6.0,13248,889,704,902,852,944,882,865,722,846,978,755,1027,749,531,574,439,385,204,91.8,1.8,0.1,3.0,1.9,62948
"ZCTA5 62985: Summary level: 860, zip code tabulation area:62985",29970.0,61715,26.9,14.1,0.4,610,29,36,25,39,27,39,6,27,15,7,84,55,64,49,30,65,5,8,95.7,0.0,0.0,2.3,0.8,62985
"ZCTA5 62998: Summary level: 860, zip code tabulation area:62998",47847.0,63420,47.3,12.6,0.0,316,7,31,30,9,0,19,26,45,23,18,31,19,33,0,0,10,15,0,100.0,0.0,0.0,0.0,0.0,62998
"ZCTA5 62226: Summary level: 860, zip code tabulation area:62226",31724.0,76878,25.3,19.1,4.7,28914,1910,1721,1415,1226,2080,2305,1968,1393,1557,1723,2232,2426,2165,1490,1094,732,730,747,71.1,22.1,0.1,1.1,3.2,62226
"ZCTA5 62885: Summary level: 860, zip code tabulation area:62885",26458.0,71289,36.3,19.4,10.3,659,55,10,11,26,78,52,39,7,38,44,89,46,65,29,31,32,0,7,95.8,4.2,0.0,0.0,0.0,62885
"ZCTA5 62851: Summary level: 860, zip code tabulation area:62851",-666666666.0,65370,39.4,3.7,2.5,150,2,13,12,14,0,8,0,26,0,22,6,8,0,12,18,9,0,0,100.0,0.0,0.0,0.0,0.0,62851
"ZCTA5 62852: Summary level: 860, zip code tabulation area:62852",36250.0,69716,39.6,0.0,3.7,57,0,2,0,2,0,0,0,2,2,5,2,11,9,14,2,0,4,2,96.5,0.0,0.0,0.0,0.0,62852
"ZCTA5 62878: Summary level: 860, zip code tabulation area:62878",40188.0,55444,51.8,9.6,3.6,483,26,50,13,60,0,28,37,50,33,13,50,33,10,0,32,0,22,26,98.6,1.4,0.0,0.0,0.0,62878
"ZCTA5 62888: Summary level: 860, zip code tabulation area:62888",31645.0,69755,38.9,9.8,6.6,2070,71,92,218,90,143,50,90,119,128,194,115,166,181,115,106,77,67,48,97.7,0.6,0.0,0.0,0.3,62888
"ZCTA5 62890: Summary level: 860, zip code tabulation area:62890",31215.0,62689,35.6,9.9,9.8,2737,124,213,180,158,86,126,197,290,202,132,334,171,97,204,73,101,17,32,97.6,0.1,1.2,0.0,0.5,62890
"ZCTA5 62891: Summary level: 860, zip code tabulation area:62891",26677.0,69881,30.5,11.0,8.0,715,60,40,86,56,8,33,25,16,54,48,36,79,18,57,48,36,4,11,97.6,1.0,0.0,0.0,3.4,62891
"ZCTA5 62906: Summary level: 860, zip code tabulation area:62906",26271.0,61151,35.0,14.8,5.6,6582,243,352,528,274,349,403,308,310,298,305,610,603,434,422,376,184,251,332,93.5,3.0,0.0,0.6,2.7,62906
"ZCTA5 62012: Summary level: 860, zip code tabulation area:62012",35035.0,85014,34.7,12.0,6.0,6510,288,300,410,410,431,208,314,373,448,394,661,575,438,341,331,247,157,184,98.2,0.2,0.0,0.0,1.4,62012
"ZCTA5 62032: Summary level: 860, zip code tabulation area:62032",30000.0,62527,47.9,4.8,3.7,749,20,32,68,73,40,34,34,47,27,35,55,64,50,43,39,42,15,31,98.5,0.0,0.0,0.5,0.0,62032
"ZCTA5 62075: Summary level: 860, zip code tabulation area:62075",30596.0,72341,48.9,9.2,2.8,3595,236,292,253,222,212,184,219,210,126,184,224,241,306,168,134,126,142,116,97.3,0.4,0.0,0.3,0.3,62075
"ZCTA5 62087: Summary level: 860, zip code tabulation area:62087",24309.0,51944,33.8,3.8,11.8,2073,187,156,135,136,195,191,103,82,142,145,116,97,100,77,123,42,28,18,87.5,10.3,0.0,0.0,2.9,62087
"ZCTA5 62201: Summary level: 860, zip code tabulation area:62201",16042.0,28410,36.0,1.7,8.8,6853,674,555,747,532,515,336,708,339,291,360,399,263,407,314,199,96,92,26,23.1,63.8,0.9,0.1,26.2,62201
"ZCTA5 62204: Summary level: 860, zip code tabulation area:62204",18456.0,34823,38.9,4.9,17.0,8133,575,725,417,597,591,648,479,556,359,421,568,642,483,421,207,262,123,59,2.0,94.0,0.2,0.1,3.4,62204
"ZCTA5 62219: Summary level: 860, zip code tabulation area:62219",22621.0,55357,38.2,7.2,6.9,1170,115,66,78,26,37,134,46,105,72,47,64,67,76,78,69,39,30,21,91.8,2.0,0.0,0.3,8.9,62219
"ZCTA5 62025: Summary level: 860, zip code tabulation area:62025",34770.0,108021,20.3,27.8,5.6,34960,1589,2007,2251,3770,4749,2215,1504,2010,2068,2424,2063,2288,1793,1619,1193,627,417,373,86.3,8.6,0.3,2.0,3.3,62025
"ZCTA5 62027: Summary level: 860, zip code tabulation area:62027",27026.0,73087,42.5,8.6,2.3,589,13,7,28,75,14,17,15,43,73,0,42,51,69,71,15,13,22,21,95.4,0.0,0.0,4.6,0.0,62027
